model,task,accuracy,precision_macro,recall_macro,f1_macro,roc_auc_ovr_macro,threshold,roc_auc,average_precision,run_dir
qlstm,multiclass,0.8729166666666667,0.8719643024757209,0.8729166666666667,0.869699733226561,0.9816641865079364,,,,runs_clean_s
lstm,multiclass,0.8729166666666667,0.8694840129306242,0.8729166666666667,0.8590595952524386,0.9808531746031746,,,,runs_clean_s
transformer,multiclass,1.0,1.0,1.0,1.0,1.0,,,,runs_clean_s
autoencoder,one_class,0.2520833333333333,0.55859375,0.5619047619047619,0.2520313910688242,,1.3652304410934448,0.8538095238095238,0.9693875943042316,runs_clean_s
qlstm,multiclass,0.84375,0.842627265263213,0.84375,0.842806124774589,0.9784362599206348,,,,runs_drift_s
lstm,multiclass,0.8614583333333333,0.8627100840336135,0.8614583333333333,0.8591873638552165,0.9806349206349206,,,,runs_drift_s
transformer,multiclass,0.9729166666666668,0.9745622481570038,0.9729166666666668,0.973107812631707,0.9991654265873016,,,,runs_drift_s
autoencoder,one_class,0.30625,0.5575143785946487,0.5821428571428571,0.302955375014718,,1.1455284357070925,0.759186507936508,0.9468864014067744,runs_drift_s
qlstm,multiclass,0.8697916666666666,0.8712199666706768,0.8697916666666667,0.8597429205015981,0.9825210813492062,,,,runs_asym_s
lstm,multiclass,0.8645833333333334,0.8640423061096751,0.8645833333333334,0.8642633467849562,0.981531498015873,,,,runs_asym_s
transformer,multiclass,0.8822916666666667,0.8823039706373039,0.8822916666666667,0.8772908131315147,0.9821887400793652,,,,runs_asym_s
autoencoder,one_class,0.2708333333333333,0.5508077123501823,0.5619047619047619,0.2700222469410456,,1.2027992010116575,0.8321230158730158,0.9608185352306404,runs_asym_s
qlstm,multiclass,0.4693181818181818,0.5859628597967297,0.7648148148148147,0.6222025154852754,0.9500421359812556,,,,runs_unknown_s
lstm,multiclass,0.46875,0.5936004954810152,0.7638888888888888,0.6237251097064644,0.9515835203534326,,,,runs_unknown_s
transformer,multiclass,0.4818181818181818,0.6188689049784651,0.7851851851851852,0.6518770141516964,0.9506057404584464,,,,runs_unknown_s
autoencoder,one_class,0.4721590909090909,0.5539961568857135,0.7051829268292683,0.4035293418079951,,1.270124435424805,0.874395325203252,0.9884245044557634,runs_unknown_s
